Entity,Code,Year,Electric cars sold,Non-electric car sales
Australia,AUS,2012,250,833083.4
Australia,AUS,2013,290,852651.1
Australia,AUS,2014,1320,823680
Australia,AUS,2015,1760,878240
Australia,AUS,2016,1370,911963.3
Australia,AUS,2017,2300,882315.44
Australia,AUS,2018,3600,853542.9
Australia,AUS,2019,9200,757466.6
Australia,AUS,2020,6900,620372.7
Australia,AUS,2021,20400,708171.44
Australia,AUS,2022,38900,723845.1
Austria,AUT,2015,2800,308311.12
Austria,AUT,2016,5000,328333.34
Austria,AUT,2017,7100,347900
Austria,AUT,2018,9100,340900
Austria,AUT,2019,11500,317071.44
Austria,AUT,2020,23600,224821.05
Austria,AUT,2021,48000,192000
Austria,AUT,2022,47000,166636.36
Belgium,BEL,2010,56,559944
Belgium,BEL,2011,296,568934.75
Belgium,BEL,2012,910,478037.38
Belgium,BEL,2013,560,466106.7
Belgium,BEL,2014,1950,473659.75
Belgium,BEL,2015,3900,502593.53
Belgium,BEL,2016,9200,531976.44
Belgium,BEL,2017,14700,550684.6
Belgium,BEL,2018,13200,536800
Belgium,BEL,2019,17700,535425
Belgium,BEL,2020,47000,380272.72
Belgium,BEL,2021,71000,323444.44
Belgium,BEL,2022,97000,276076.94
Brazil,BRA,2012,92,3066574.8
Brazil,BRA,2013,163,2963473.5
Brazil,BRA,2015,87,2121864.2
Brazil,BRA,2016,177,1769823
Brazil,BRA,2017,315,1657579.8
Brazil,BRA,2018,296,2113989.8
Brazil,BRA,2019,1940,2307583.8
Brazil,BRA,2020,2480,1650853.2
Brazil,BRA,2021,13900,1864478.4
Brazil,BRA,2022,18500,1869255.1
Canada,CAN,2011,520,1267772.6
Canada,CAN,2012,1920,1369508.6
Canada,CAN,2013,3100,1473090.5
Canada,CAN,2014,5100,1540354.5
Canada,CAN,2015,6800,1574595.4
Canada,CAN,2016,11600,1599511
Canada,CAN,2017,16700,1670168.6
Canada,CAN,2018,44000,1585629.6
Canada,CAN,2019,51000,1542750
Canada,CAN,2020,51000,1192902.5
Canada,CAN,2021,87000,1251461.5
Canada,CAN,2022,114000,1098766
Chile,CHL,2014,17,239419.62
Chile,CHL,2015,36,189437.69
Chile,CHL,2016,31,206635.67
Chile,CHL,2017,135,221176.47
Chile,CHL,2018,178,247044.23
Chile,CHL,2019,300,213985.72
Chile,CHL,2020,189,117936
Chile,CHL,2021,570,299430
Chile,CHL,2022,1500,304622.44
China,CHN,2010,1440,14398560
China,CHN,2011,5120,15053703
China,CHN,2012,9860,13496990
China,CHN,2013,15730,16542165
China,CHN,2014,73000,18177000
China,CHN,2015,211000,20889000
China,CHN,2016,339000,22261000
China,CHN,2017,580000,23586666
China,CHN,2018,1090000,21154898
China,CHN,2019,1060000,20140000
China,CHN,2020,1140000,18515172
China,CHN,2021,3250000,17062500
China,CHN,2022,5900000,14444828
Denmark,DNK,2011,422,168378
Denmark,DNK,2012,502,172601.45
Denmark,DNK,2013,510,181632.86
Denmark,DNK,2014,1690,186087.78
Denmark,DNK,2015,4720,200497.39
Denmark,DNK,2016,1870,218130
Denmark,DNK,2017,1330,220336.66
Denmark,DNK,2018,4600,214447.62
Denmark,DNK,2019,9400,214409.53
Denmark,DNK,2020,32000,168000
Denmark,DNK,2021,65000,120714.29
Denmark,DNK,2022,57000,89153.84
Europe,,2010,2030,14497970
Europe,,2011,10430,14277241
Europe,,2012,27000,13473000
Europe,,2013,59000,13350091
Europe,,2014,96000,14021647
Europe,,2015,188000,15478666
Europe,,2016,212000,16095693
Europe,,2017,300000,17347058
Europe,,2018,390000,16566522
Europe,,2019,570000,16194705
Europe,,2020,1380000,12420000
Europe,,2021,2300000,10477778
Europe,,2022,2600000,9780952
European Union (27),,2010,1409,11740258
European Union (27),,2011,7080,11231015
European Union (27),,2012,19300,10138595
European Union (27),,2013,45000,9529468
European Union (27),,2014,56000,9944000
European Union (27),,2015,119000,10699182
European Union (27),,2016,118000,11922816
European Union (27),,2017,170000,12906924
European Union (27),,2018,240000,12391579
European Union (27),,2019,390000,12610000
European Union (27),,2020,1050000,9450000
European Union (27),,2021,1750000,7972222
European Union (27),,2022,1980000,7448571.5
Finland,FIN,2012,181,106289.586
Finland,FIN,2013,220,104541.91
Finland,FIN,2014,440,106877.07
Finland,FIN,2015,660,109339.99
Finland,FIN,2016,1420,116913.33
Finland,FIN,2017,3100,116130.77
Finland,FIN,2018,5680,115171.07
Finland,FIN,2019,7900,106592.75
Finland,FIN,2020,17200,78355.555
Finland,FIN,2021,30000,66774.195
Finland,FIN,2022,31000,50578.95
France,FRA,2011,2696,2071150.2
France,FRA,2012,6300,1846641.1
France,FRA,2013,9630,1741279
France,FRA,2014,13100,1806344.4
France,FRA,2015,22700,1868966.6
France,FRA,2016,29400,1930600
France,FRA,2017,37000,2018555.6
France,FRA,2018,46000,2144476.2
France,FRA,2019,62000,2152285.8
France,FRA,2020,185000,1496818.1
France,FRA,2021,300000,1278947.4
France,FRA,2022,340000,1279047.6
Germany,DEU,2011,1640,3152206
Germany,DEU,2012,3400,3087509
Germany,DEU,2013,6800,2949721.8
Germany,DEU,2014,13500,2986500
Germany,DEU,2015,23000,3127684.8
Germany,DEU,2016,24000,3263671.2
Germany,DEU,2017,54000,3321000
Germany,DEU,2018,67000,3459315.8
Germany,DEU,2019,108000,3616137.8
Germany,DEU,2020,390000,2610000
Germany,DEU,2021,690000,1963846.1
Germany,DEU,2022,830000,1847419.4
Greece,GRC,2015,57,75943
Greece,GRC,2016,97,80736.336
Greece,GRC,2017,190,86173.64
Greece,GRC,2018,298,102460.625
Greece,GRC,2019,480,113805.72
Greece,GRC,2020,2180,81666.16
Greece,GRC,2021,7000,94449.27
Greece,GRC,2022,8300,96763.29
Iceland,ISL,2012,26,8361.097
Iceland,ISL,2013,103,7820.077
Iceland,ISL,2014,229,10675.763
Iceland,ISL,2015,560,14995.556
Iceland,ISL,2016,1160,19554.285
Iceland,ISL,2017,3050,18735.715
Iceland,ISL,2018,3680,14720
Iceland,ISL,2019,2610,8737.826
Iceland,ISL,2020,5000,4615.385
Iceland,ISL,2021,9200,3577.7778
Iceland,ISL,2022,11900,5100
India,IND,2019,687,2861813
India,IND,2020,3143,2414549.5
India,IND,2021,12050,3000450
India,IND,2022,48023,3153510.2
Israel,ISR,2012,601,221991.58
Israel,ISR,2013,477,226665.86
Israel,ISR,2014,58,263578.38
Israel,ISR,2015,68,283265.34
Israel,ISR,2016,68,309022.9
Israel,ISR,2017,1630,311831.56
Israel,ISR,2018,3730,307103.3
Israel,ISR,2019,4750,292125
Israel,ISR,2020,6900,258484.62
Israel,ISR,2021,24000,328941.16
Israel,ISR,2022,43000,287769.22
Italy,ITA,2013,1040,1298960
Italy,ITA,2014,1340,1338660
Italy,ITA,2015,2240,1597760
Italy,ITA,2016,2700,1797299.9
Italy,ITA,2017,4900,1955100
Italy,ITA,2018,9700,1892260.9
Italy,ITA,2019,17500,1926944.5
Italy,ITA,2020,60000,1335348.8
Italy,ITA,2021,138000,1314631.6
Italy,ITA,2022,114000,1152666.6
Japan,JPN,2011,13015,4185372
Japan,JPN,2012,24000,4504302
Japan,JPN,2013,29000,4574174.5
Japan,JPN,2014,32000,4605681
Japan,JPN,2015,24000,4113931.2
Japan,JPN,2016,24400,4042266.5
Japan,JPN,2017,54000,4446000
Japan,JPN,2018,50000,4495454.5
Japan,JPN,2019,39000,4294333.5
Japan,JPN,2020,30000,3866104
Japan,JPN,2021,45000,3704999.8
Japan,JPN,2022,102000,3298000
Mexico,MEX,2015,99,1319901
Mexico,MEX,2016,770,1509034
Mexico,MEX,2017,1200,1444583.2
Mexico,MEX,2018,1800,1382815.4
Mexico,MEX,2019,1690,1298310
Mexico,MEX,2020,3800,900961.94
Mexico,MEX,2021,6500,860166.7
Mexico,MEX,2022,8400,914676.9
Netherlands,NLD,2011,877,547248
Netherlands,NLD,2012,5090,503910
Netherlands,NLD,2013,22600,388309.1
Netherlands,NLD,2014,14700,362223.06
Netherlands,NLD,2015,44800,403200
Netherlands,NLD,2016,23100,361900
Netherlands,NLD,2017,10300,401700
Netherlands,NLD,2018,27500,409007.94
Netherlands,NLD,2019,66900,379100
Netherlands,NLD,2020,88000,264000
Netherlands,NLD,2021,95000,221666.67
Netherlands,NLD,2022,107000,198714.28
New Zealand,NZL,2011,15,151500.16
New Zealand,NZL,2012,27,158796.52
New Zealand,NZL,2013,36,189437.69
New Zealand,NZL,2014,320,228251.42
New Zealand,NZL,2015,500,249500
New Zealand,NZL,2016,1540,268635.44
New Zealand,NZL,2017,3440,283226.66
New Zealand,NZL,2018,5600,289136.84
New Zealand,NZL,2019,6900,239528.58
New Zealand,NZL,2020,5400,187457.14
New Zealand,NZL,2021,10300,275811.12
New Zealand,NZL,2022,28200,188723.08
Norway,NOR,2012,4220,131909.03
Norway,NOR,2013,8240,133828.95
Norway,NOR,2014,21700,122966.664
Norway,NOR,2015,33900,120190.91
Norway,NOR,2016,45000,110172.414
Norway,NOR,2017,62000,96974.36
Norway,NOR,2018,73000,75979.59
Norway,NOR,2019,79000,62071.43
Norway,NOR,2020,106000,35333.332
Norway,NOR,2021,148000,24093.023
Norway,NOR,2022,166000,22636.363
Other Europe,,2012,754,1018164.9
Other Europe,,2014,1202,923413.44
Other Europe,,2015,1440,958559.94
Other Europe,,2016,2040,1131293.2
Other Europe,,2017,5000,1214512.2
Other Europe,,2018,8600,1274982
Other Europe,,2019,16000,1438545.4
Other Europe,,2020,34000,1099333.4
Other Europe,,2021,60000,1093846.2
Other Europe,,2022,78000,1036285.7
Poland,POL,2010,16,333317.3
Poland,POL,2012,48,266618.7
Poland,POL,2013,37,284578.38
Poland,POL,2014,201,323992.56
Poland,POL,2015,220,354618.72
Poland,POL,2016,510,424490
Poland,POL,2017,1080,489829.1
Poland,POL,2018,1380,529389.25
Poland,POL,2019,2700,548320.4
Poland,POL,2020,8200,423378.94
Poland,POL,2021,16300,424240.53
Poland,POL,2022,25000,391666.66
Portugal,PRT,2013,207,108740.37
Portugal,PRT,2014,199,141943.86
Portugal,PRT,2015,1120,195371.23
Portugal,PRT,2016,1810,221646.8
Portugal,PRT,2017,4400,227178.95
Portugal,PRT,2018,8000,220571.42
Portugal,PRT,2019,12700,210107.03
Portugal,PRT,2020,19800,121628.57
Portugal,PRT,2021,29000,116000
Portugal,PRT,2022,34000,120545.45
Rest of World,,2012,348,12888541
Rest of World,,2013,161,13416505
Rest of World,,2014,520,12380433
Rest of World,,2015,4200,11662467
Rest of World,,2016,1590,12229179
Rest of World,,2017,2250,10712036
Rest of World,,2018,3800,10853343
Rest of World,,2019,6400,9839754
Rest of World,,2020,8500,10110548
Rest of World,,2021,19400,10758377
Rest of World,,2022,30300,10791129
South Africa,ZAF,2014,15,441161.47
South Africa,ZAF,2015,240,413553.12
South Africa,ZAF,2016,380,379620
South Africa,ZAF,2017,198,373386.9
South Africa,ZAF,2018,148,360827.6
South Africa,ZAF,2019,232,362267.97
South Africa,ZAF,2020,242,246696.78
South Africa,ZAF,2021,271,304223.38
South Africa,ZAF,2022,620,364085.88
South Korea,KOR,2015,3350,1591888.1
South Korea,KOR,2016,5030,1566845
South Korea,KOR,2017,14670,1579895.2
South Korea,KOR,2018,59400,1590600
South Korea,KOR,2019,35700,1587027.2
South Korea,KOR,2020,39700,1548300
South Korea,KOR,2021,91000,1376742
South Korea,KOR,2022,131000,1262617.1
Spain,ESP,2011,398,811846.94
Spain,ESP,2012,540,709986.3
Spain,ESP,2013,882,734118
Spain,ESP,2014,1730,863270
Spain,ESP,2015,2080,988396.25
Spain,ESP,2016,3500,1125532.2
Spain,ESP,2017,7400,1225933.2
Spain,ESP,2018,11600,1306581.9
Spain,ESP,2019,17400,1225457.1
Spain,ESP,2020,42000,815142.8
Spain,ESP,2021,67000,791974.3
Spain,ESP,2022,82000,839348.4
Sweden,SWE,2012,930,299070
Sweden,SWE,2013,1530,287149.25
Sweden,SWE,2014,4600,323971.44
Sweden,SWE,2015,8700,353800
Sweden,SWE,2016,12900,366511.75
Sweden,SWE,2017,20400,379600
Sweden,SWE,2018,29100,353794.75
Sweden,SWE,2019,41000,331727.28
Sweden,SWE,2020,94000,199750
Sweden,SWE,2021,135000,178953.48
Sweden,SWE,2022,163000,138851.86
Switzerland,CHE,2011,441,314559
Switzerland,CHE,2012,740,320999.12
Switzerland,CHE,2013,1370,317234.66
Switzerland,CHE,2014,2900,299183.34
Switzerland,CHE,2015,5700,329594.1
Switzerland,CHE,2016,6100,314952.62
Switzerland,CHE,2017,8400,302711.1
Switzerland,CHE,2018,9500,287375
Switzerland,CHE,2019,17300,291628.56
Switzerland,CHE,2020,34000,208857.14
Switzerland,CHE,2021,54000,180782.61
Switzerland,CHE,2022,59000,177000
Turkey,TUR,2014,68,566598.7
Turkey,TUR,2015,230,741705.5
Turkey,TUR,2016,127,746931.8
Turkey,TUR,2017,111,739889
Turkey,TUR,2018,235,521987.2
Turkey,TUR,2019,324,385390.28
Turkey,TUR,2020,1290,757533.5
Turkey,TUR,2021,3920,708807.25
Turkey,TUR,2022,7540,746460
United Kingdom,GBR,2010,261,2007431.2
United Kingdom,GBR,2011,1207,1914666
United Kingdom,GBR,2012,2570,1974353.1
United Kingdom,GBR,2013,3700,2172770.5
United Kingdom,GBR,2014,14500,2402166.5
United Kingdom,GBR,2015,29000,2607363.5
United Kingdom,GBR,2016,39000,2746714.2
United Kingdom,GBR,2017,49000,2529947.5
United Kingdom,GBR,2018,62000,2322615.5
United Kingdom,GBR,2019,75000,2268750
United Kingdom,GBR,2020,178000,1440181.9
United Kingdom,GBR,2021,310000,1321579
United Kingdom,GBR,2022,370000,1238695.6
United States,USA,2011,17800,10452788
United States,USA,2012,54000,13116732
United States,USA,2013,97000,13011108
United States,USA,2014,118000,13140427
United States,USA,2015,114000,14501385
United States,USA,2016,160000,15840000
United States,USA,2017,194000,15972666
United States,USA,2018,360000,17640000
United States,USA,2019,325000,15151191
United States,USA,2020,294000,13069636
United States,USA,2021,630000,13370000
United States,USA,2022,990000,11867143
World,OWID_WRL,2010,7570,68810616
World,OWID_WRL,2011,48000,68523430
World,OWID_WRL,2012,118000,73632000
World,OWID_WRL,2013,201000,74243440
World,OWID_WRL,2014,330000,76414184
World,OWID_WRL,2015,550000,78021430
World,OWID_WRL,2016,750000,83519660
World,OWID_WRL,2017,1180000,83105710
World,OWID_WRL,2018,2050000,87080440
World,OWID_WRL,2019,2080000,77920000
World,OWID_WRL,2020,2970000,67744290
World,OWID_WRL,2021,6500000,68212650
World,OWID_WRL,2022,10200000,62657144